UID,DATETIME,10m_rainfall,1hr_rainfall,3hr_rainfall,rainfallobservation_position_lat,rainfallobservation_position_lon,gutter_level,gutter_height,gutter_position_lat,gutter_position_lon,river_level,bridge_name,riverobservation_position_lat,riverobservation_position_lon,danger_level
7_I,2023-08-31 06:05:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.235,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:06:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.235,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:07:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.235,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:08:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:09:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.235,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:10:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.234,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:11:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:12:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:13:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.232,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:14:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.231,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:15:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:16:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.23,Sebyeong,35.196918,129.082638,0
7_I,2023-08-31 06:17:00,0.0,0.0,0.0,35.192586,129.088421,0,670,35.192586,129.088421,0.229,Sebyeong,35.196918,129.082638,0
